row,Period,Năm,Tháng,BU,GEO,Province2,Product,Brand Lv1,Brand Lv2,Price Class,Qty,Revenue
180019,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Ba Ria - Vung Tau,Laptop,Acer,Acer,>25M,6,131401818
180020,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Ba Ria - Vung Tau,Laptop,Acer,Acer,16M - 20M,21,312445647
180021,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Ba Ria - Vung Tau,Laptop,Acer,Acer,20M - 25M,10,177688888
180022,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Duong,Laptop,Acer,Acer,10M - 12M,8,72038180
180023,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Duong,Laptop,Acer,Acer,12M - 14M,6,60218184
180024,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Duong,Laptop,Acer,Acer,14M - 16M,6,80127273
180025,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Duong,Laptop,Acer,Acer,8M - 10M,12,101345460
180026,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Duong,Laptop,Acer,Acer,16M - 20M,8,120954184
180027,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Duong,Laptop,Acer,Acer,20M - 25M,42,738869085
180028,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Duong,Laptop,Acer,Acer,<8M,6,38176362
180029,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Phuoc,Laptop,Acer,Acer,10M - 12M,8,74109088
180030,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Phuoc,Laptop,Acer,Acer,12M - 14M,4,35963636
180031,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Phuoc,Laptop,Acer,Acer,14M - 16M,3,38020908
180032,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Phuoc,Laptop,Acer,Acer,8M - 10M,9,77372727
180033,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Phuoc,Laptop,Acer,Acer,>25M,4,87783636
180034,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Phuoc,Laptop,Acer,Acer,16M - 20M,8,112290912
180035,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Phuoc,Laptop,Acer,Acer,20M - 25M,10,174797726
180036,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Thuan,Laptop,Acer,Acer,10M - 12M,9,84032730
180037,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Thuan,Laptop,Acer,Acer,14M - 16M,4,56327272
180038,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Thuan,Laptop,Acer,Acer,8M - 10M,2,16800910
180039,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Thuan,Laptop,Acer,Acer,>25M,2,45375758
180040,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Thuan,Laptop,Acer,Acer,16M - 20M,2,28146363
180041,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Thuan,Laptop,Acer,Acer,20M - 25M,21,370456362
180042,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Binh Thuan,Laptop,Acer,Acer,<8M,4,25450908
180043,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Dong Nai,Laptop,Acer,Acer,10M - 12M,12,119987730
180044,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Dong Nai,Laptop,Acer,Acer,12M - 14M,9,95645454
180045,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Dong Nai,Laptop,Acer,Acer,14M - 16M,9,117535905
180046,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Dong Nai,Laptop,Acer,Acer,8M - 10M,24,198926289
180047,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Dong Nai,Laptop,Acer,Acer,>25M,2,44165454
180048,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Dong Nai,Laptop,Acer,Acer,16M - 20M,18,269144628
180049,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Dong Nai,Laptop,Acer,Acer,20M - 25M,40,724539860
180050,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Tay Ninh,Laptop,Acer,Acer,10M - 12M,9,82393638
180051,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Tay Ninh,Laptop,Acer,Acer,12M - 14M,8,80654544
180052,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Tay Ninh,Laptop,Acer,Acer,14M - 16M,2,27436363
180053,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Tay Ninh,Laptop,Acer,Acer,8M - 10M,6,46309092
180054,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Tay Ninh,Laptop,Acer,Acer,>25M,4,83418180
180055,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Tay Ninh,Laptop,Acer,Acer,16M - 20M,4,61578183
180056,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Tay Ninh,Laptop,Acer,Acer,20M - 25M,28,503044036
180057,2021-03,2021,3,CellphoneS,HCM,Ho Chi Minh,Laptop,Acer,Acer,10M - 12M,100,978354548
180058,2021-03,2021,3,CellphoneS,HCM,Ho Chi Minh,Laptop,Acer,Acer,12M - 14M,44,454276368
180059,2021-03,2021,3,CellphoneS,HCM,Ho Chi Minh,Laptop,Acer,Acer,14M - 16M,102,1355548368
180060,2021-03,2021,3,CellphoneS,HCM,Ho Chi Minh,Laptop,Acer,Acer,8M - 10M,72,611659354
180061,2021-03,2021,3,CellphoneS,HCM,Ho Chi Minh,Laptop,Acer,Acer,>25M,18,392671846
180062,2021-03,2021,3,CellphoneS,HCM,Ho Chi Minh,Laptop,Acer,Acer,16M - 20M,234,3610935471
180063,2021-03,2021,3,CellphoneS,HCM,Ho Chi Minh,Laptop,Acer,Acer,20M - 25M,416,7295790048
180064,2021-03,2021,3,CellphoneS,HCM,Ho Chi Minh,Laptop,Acer,Acer,<8M,6,38176362
180065,2021-03,2021,3,CellphoneS,HN,Ha Noi,Laptop,Acer,Acer,10M - 12M,41,414451982
180066,2021-03,2021,3,CellphoneS,HN,Ha Noi,Laptop,Acer,Acer,14M - 16M,20,258311914
180067,2021-03,2021,3,CellphoneS,HN,Ha Noi,Laptop,Acer,Acer,8M - 10M,12,97825176
180068,2021-03,2021,3,CellphoneS,HN,Ha Noi,Laptop,Acer,Acer,>25M,33,733527996
180069,2021-03,2021,3,CellphoneS,HN,Ha Noi,Laptop,Acer,Acer,16M - 20M,129,1962081741
180070,2021-03,2021,3,CellphoneS,HN,Ha Noi,Laptop,Acer,Acer,20M - 25M,87,1522339173
180071,2021-03,2021,3,CellphoneS,HN,Ha Noi,Laptop,Acer,Acer,<8M,4,25450908
180072,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Giang,Laptop,Acer,Acer,10M - 12M,3,28072727
180073,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Giang,Laptop,Acer,Acer,12M - 14M,6,70854546
180074,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Giang,Laptop,Acer,Acer,14M - 16M,6,81681822
180075,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Giang,Laptop,Acer,Acer,8M - 10M,2,18163636
180076,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Giang,Laptop,Acer,Acer,16M - 20M,15,214936371
180077,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Giang,Laptop,Acer,Acer,20M - 25M,12,219556364
180078,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Giang,Laptop,Acer,Acer,<8M,4,25450908
180079,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Ninh,Laptop,Acer,Acer,10M - 12M,8,80659394
180080,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Ninh,Laptop,Acer,Acer,14M - 16M,12,149709088
180081,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Ninh,Laptop,Acer,Acer,>25M,4,85327272
180082,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Ninh,Laptop,Acer,Acer,16M - 20M,4,63366464
180083,2021-03,2021,3,CellphoneS,Miền Bắc 1,Bac Ninh,Laptop,Acer,Acer,20M - 25M,20,348369696
180084,2021-03,2021,3,CellphoneS,Miền Bắc 1,Cao Bang,Laptop,Acer,Acer,12M - 14M,1,10628182
180085,2021-03,2021,3,CellphoneS,Miền Bắc 1,Cao Bang,Laptop,Acer,Acer,20M - 25M,8,140072728
180086,2021-03,2021,3,CellphoneS,Miền Bắc 1,Dien Bien,Laptop,Acer,Acer,10M - 12M,6,63763638
180087,2021-03,2021,3,CellphoneS,Miền Bắc 1,Dien Bien,Laptop,Acer,Acer,20M - 25M,9,158372727
180088,2021-03,2021,3,CellphoneS,Miền Bắc 1,Ha Giang,Laptop,Acer,Acer,10M - 12M,4,43600000
180089,2021-03,2021,3,CellphoneS,Miền Bắc 1,Ha Giang,Laptop,Acer,Acer,12M - 14M,2,20072728
180090,2021-03,2021,3,CellphoneS,Miền Bắc 1,Ha Giang,Laptop,Acer,Acer,16M - 20M,4,58909092
180091,2021-03,2021,3,CellphoneS,Miền Bắc 1,Ha Giang,Laptop,Acer,Acer,20M - 25M,2,35072727
180092,2021-03,2021,3,CellphoneS,Miền Bắc 1,Hoa Binh,Laptop,Acer,Acer,10M - 12M,2,21190910
180093,2021-03,2021,3,CellphoneS,Miền Bắc 1,Hoa Binh,Laptop,Acer,Acer,12M - 14M,2,17981818
180094,2021-03,2021,3,CellphoneS,Miền Bắc 1,Hoa Binh,Laptop,Acer,Acer,>25M,4,83381820
180095,2021-03,2021,3,CellphoneS,Miền Bắc 1,Hoa Binh,Laptop,Acer,Acer,16M - 20M,6,93583638
180096,2021-03,2021,3,CellphoneS,Miền Bắc 1,Lao Cai,Laptop,Acer,Acer,10M - 12M,4,42872728
180097,2021-03,2021,3,CellphoneS,Miền Bắc 1,Lao Cai,Laptop,Acer,Acer,12M - 14M,3,26972727
180098,2021-03,2021,3,CellphoneS,Miền Bắc 1,Lao Cai,Laptop,Acer,Acer,14M - 16M,3,35972727
180099,2021-03,2021,3,CellphoneS,Miền Bắc 1,Lao Cai,Laptop,Acer,Acer,8M - 10M,8,69747876
180100,2021-03,2021,3,CellphoneS,Miền Bắc 1,Lao Cai,Laptop,Acer,Acer,16M - 20M,9,139857276
180101,2021-03,2021,3,CellphoneS,Miền Bắc 1,Lao Cai,Laptop,Acer,Acer,20M - 25M,8,138766424
180102,2021-03,2021,3,CellphoneS,Miền Bắc 1,Lang Son,Laptop,Acer,Acer,10M - 12M,2,18619091
180103,2021-03,2021,3,CellphoneS,Miền Bắc 1,Lang Son,Laptop,Acer,Acer,16M - 20M,2,30890910
180104,2021-03,2021,3,CellphoneS,Miền Bắc 1,Lang Son,Laptop,Acer,Acer,20M - 25M,2,33981818
180105,2021-03,2021,3,CellphoneS,Miền Bắc 1,Phu Tho,Laptop,Acer,Acer,10M - 12M,12,117714544
180106,2021-03,2021,3,CellphoneS,Miền Bắc 1,Phu Tho,Laptop,Acer,Acer,14M - 16M,9,119184546
180107,2021-03,2021,3,CellphoneS,Miền Bắc 1,Phu Tho,Laptop,Acer,Acer,16M - 20M,8,124363636
180108,2021-03,2021,3,CellphoneS,Miền Bắc 1,Phu Tho,Laptop,Acer,Acer,20M - 25M,8,141965090
180109,2021-03,2021,3,CellphoneS,Miền Bắc 1,Quang Ninh,Laptop,Acer,Acer,10M - 12M,6,57547635
180110,2021-03,2021,3,CellphoneS,Miền Bắc 1,Quang Ninh,Laptop,Acer,Acer,14M - 16M,6,76364727
180111,2021-03,2021,3,CellphoneS,Miền Bắc 1,Quang Ninh,Laptop,Acer,Acer,>25M,6,130854546
180112,2021-03,2021,3,CellphoneS,Miền Bắc 1,Quang Ninh,Laptop,Acer,Acer,16M - 20M,15,237890910
180113,2021-03,2021,3,CellphoneS,Miền Bắc 1,Quang Ninh,Laptop,Acer,Acer,20M - 25M,39,689969640
180114,2021-03,2021,3,CellphoneS,Miền Bắc 1,Son La,Laptop,Acer,Acer,10M - 12M,6,55454544
180115,2021-03,2021,3,CellphoneS,Miền Bắc 1,Son La,Laptop,Acer,Acer,8M - 10M,4,36145454
180116,2021-03,2021,3,CellphoneS,Miền Bắc 1,Son La,Laptop,Acer,Acer,16M - 20M,4,59690908
180117,2021-03,2021,3,CellphoneS,Miền Bắc 1,Son La,Laptop,Acer,Acer,<8M,1,6362727
180118,2021-03,2021,3,CellphoneS,Miền Bắc 1,Thai Nguyen,Laptop,Acer,Acer,10M - 12M,4,37054544
180119,2021-03,2021,3,CellphoneS,Miền Bắc 1,Thai Nguyen,Laptop,Acer,Acer,14M - 16M,8,99565088
180120,2021-03,2021,3,CellphoneS,Miền Bắc 1,Thai Nguyen,Laptop,Acer,Acer,>25M,4,87236364
180121,2021-03,2021,3,CellphoneS,Miền Bắc 1,Thai Nguyen,Laptop,Acer,Acer,16M - 20M,9,145354092
180122,2021-03,2021,3,CellphoneS,Miền Bắc 1,Thai Nguyen,Laptop,Acer,Acer,20M - 25M,32,559345452
180123,2021-03,2021,3,CellphoneS,Miền Bắc 1,Tuyen Quang,Laptop,Acer,Acer,10M - 12M,4,37983636
180124,2021-03,2021,3,CellphoneS,Miền Bắc 1,Tuyen Quang,Laptop,Acer,Acer,14M - 16M,4,53510908
180125,2021-03,2021,3,CellphoneS,Miền Bắc 1,Tuyen Quang,Laptop,Acer,Acer,>25M,4,88330908
180126,2021-03,2021,3,CellphoneS,Miền Bắc 1,Tuyen Quang,Laptop,Acer,Acer,16M - 20M,1,15741819
180127,2021-03,2021,3,CellphoneS,Miền Bắc 1,Vinh Phuc,Laptop,Acer,Acer,12M - 14M,8,89381816
180128,2021-03,2021,3,CellphoneS,Miền Bắc 1,Vinh Phuc,Laptop,Acer,Acer,>25M,2,44165454
180129,2021-03,2021,3,CellphoneS,Miền Bắc 1,Vinh Phuc,Laptop,Acer,Acer,16M - 20M,4,58983274
180130,2021-03,2021,3,CellphoneS,Miền Bắc 1,Vinh Phuc,Laptop,Acer,Acer,20M - 25M,4,69510908
180131,2021-03,2021,3,CellphoneS,Miền Bắc 1,Yen Bai,Laptop,Acer,Acer,10M - 12M,6,61639092
180132,2021-03,2021,3,CellphoneS,Miền Bắc 1,Yen Bai,Laptop,Acer,Acer,16M - 20M,4,54690908
180133,2021-03,2021,3,CellphoneS,Miền Bắc 1,Yen Bai,Laptop,Acer,Acer,20M - 25M,6,103309089
180134,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Duong,Laptop,Acer,Acer,10M - 12M,24,245893640
180135,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Duong,Laptop,Acer,Acer,12M - 14M,6,57220000
180136,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Duong,Laptop,Acer,Acer,14M - 16M,6,76806941
180137,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Duong,Laptop,Acer,Acer,>25M,2,44027273
180138,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Duong,Laptop,Acer,Acer,16M - 20M,15,226073379
180139,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Duong,Laptop,Acer,Acer,20M - 25M,12,205499581
180140,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Duong,Laptop,Acer,Acer,<8M,2,12107274
180141,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ha Nam,Laptop,Acer,Acer,12M - 14M,6,53945454
180142,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ha Nam,Laptop,Acer,Acer,8M - 10M,6,53945454
180143,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ha Nam,Laptop,Acer,Acer,16M - 20M,3,49344548
180144,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ha Nam,Laptop,Acer,Acer,20M - 25M,8,140494544
180145,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Phong,Laptop,Acer,Acer,10M - 12M,4,41710546
180146,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Phong,Laptop,Acer,Acer,12M - 14M,6,55036366
180147,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Phong,Laptop,Acer,Acer,14M - 16M,6,76174908
180148,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Phong,Laptop,Acer,Acer,16M - 20M,10,148054548
180149,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hai Phong,Laptop,Acer,Acer,20M - 25M,22,379896002
180150,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ha Tinh,Laptop,Acer,Acer,10M - 12M,6,61084365
180151,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ha Tinh,Laptop,Acer,Acer,12M - 14M,4,44690908
180152,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ha Tinh,Laptop,Acer,Acer,16M - 20M,3,46779091
180153,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ha Tinh,Laptop,Acer,Acer,20M - 25M,8,142443636
180154,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hung Yen,Laptop,Acer,Acer,10M - 12M,6,53945454
180155,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hung Yen,Laptop,Acer,Acer,12M - 14M,2,17981818
180156,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hung Yen,Laptop,Acer,Acer,14M - 16M,4,53781820
180157,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hung Yen,Laptop,Acer,Acer,>25M,3,65427273
180158,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hung Yen,Laptop,Acer,Acer,16M - 20M,6,92721818
180159,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hung Yen,Laptop,Acer,Acer,20M - 25M,6,106060521
180160,2021-03,2021,3,CellphoneS,Miền Bắc 2,Hung Yen,Laptop,Acer,Acer,<8M,3,19088181
180161,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nghe An,Laptop,Acer,Acer,10M - 12M,22,213219998
180162,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nghe An,Laptop,Acer,Acer,14M - 16M,8,100023634
180163,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nghe An,Laptop,Acer,Acer,16M - 20M,15,217431825
180164,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nghe An,Laptop,Acer,Acer,20M - 25M,4,69157577
180165,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nghe An,Laptop,Acer,Acer,<8M,9,57264543
180166,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ninh Binh,Laptop,Acer,Acer,10M - 12M,12,116338908
180167,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ninh Binh,Laptop,Acer,Acer,14M - 16M,8,104476364
180168,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ninh Binh,Laptop,Acer,Acer,>25M,3,64609092
180169,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ninh Binh,Laptop,Acer,Acer,16M - 20M,3,46505455
180170,2021-03,2021,3,CellphoneS,Miền Bắc 2,Ninh Binh,Laptop,Acer,Acer,20M - 25M,12,204486234
180171,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nam Dinh,Laptop,Acer,Acer,10M - 12M,3,31719000
180172,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nam Dinh,Laptop,Acer,Acer,14M - 16M,3,38020908
180173,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nam Dinh,Laptop,Acer,Acer,8M - 10M,6,49041816
180174,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nam Dinh,Laptop,Acer,Acer,>25M,4,83418180
180175,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nam Dinh,Laptop,Acer,Acer,16M - 20M,4,59150456
180176,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nam Dinh,Laptop,Acer,Acer,20M - 25M,9,157528182
180177,2021-03,2021,3,CellphoneS,Miền Bắc 2,Nam Dinh,Laptop,Acer,Acer,<8M,6,37085454
180178,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Binh,Laptop,Acer,Acer,10M - 12M,4,35054544
180179,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Binh,Laptop,Acer,Acer,14M - 16M,6,81164727
180180,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Binh,Laptop,Acer,Acer,8M - 10M,6,51763644
180181,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Binh,Laptop,Acer,Acer,>25M,9,199418178
180182,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Binh,Laptop,Acer,Acer,16M - 20M,4,64124364
180183,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Binh,Laptop,Acer,Acer,20M - 25M,4,69692726
180184,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Binh,Laptop,Acer,Acer,<8M,4,25450908
180185,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Tri,Laptop,Acer,Acer,10M - 12M,2,21618182
180186,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Tri,Laptop,Acer,Acer,12M - 14M,3,26972727
180187,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Tri,Laptop,Acer,Acer,16M - 20M,2,36163636
180188,2021-03,2021,3,CellphoneS,Miền Bắc 2,Quang Tri,Laptop,Acer,Acer,20M - 25M,1,17536364
180189,2021-03,2021,3,CellphoneS,Miền Bắc 2,Thai Binh,Laptop,Acer,Acer,10M - 12M,6,59270290
180190,2021-03,2021,3,CellphoneS,Miền Bắc 2,Thai Binh,Laptop,Acer,Acer,14M - 16M,4,50145456
180191,2021-03,2021,3,CellphoneS,Miền Bắc 2,Thai Binh,Laptop,Acer,Acer,16M - 20M,4,62181818
180192,2021-03,2021,3,CellphoneS,Miền Bắc 2,Thai Binh,Laptop,Acer,Acer,20M - 25M,6,105736362
180193,2021-03,2021,3,CellphoneS,Miền Bắc 2,Thanh Hoa,Laptop,Acer,Acer,10M - 12M,12,121904415
180194,2021-03,2021,3,CellphoneS,Miền Bắc 2,Thanh Hoa,Laptop,Acer,Acer,14M - 16M,4,52569698
180195,2021-03,2021,3,CellphoneS,Miền Bắc 2,Thanh Hoa,Laptop,Acer,Acer,8M - 10M,9,69463638
180196,2021-03,2021,3,CellphoneS,Miền Bắc 2,Thanh Hoa,Laptop,Acer,Acer,>25M,3,65154546
180197,2021-03,2021,3,CellphoneS,Miền Bắc 2,Thanh Hoa,Laptop,Acer,Acer,16M - 20M,28,438047276
180198,2021-03,2021,3,CellphoneS,Miền Bắc 2,Thanh Hoa,Laptop,Acer,Acer,20M - 25M,15,265978638
180199,2021-03,2021,3,CellphoneS,Miền Trung,Binh Dinh,Laptop,Acer,Acer,10M - 12M,6,54527271
180200,2021-03,2021,3,CellphoneS,Miền Trung,Binh Dinh,Laptop,Acer,Acer,14M - 16M,3,37881819
180201,2021-03,2021,3,CellphoneS,Miền Trung,Binh Dinh,Laptop,Acer,Acer,8M - 10M,10,84143646
180202,2021-03,2021,3,CellphoneS,Miền Trung,Binh Dinh,Laptop,Acer,Acer,>25M,3,62563635
180203,2021-03,2021,3,CellphoneS,Miền Trung,Binh Dinh,Laptop,Acer,Acer,16M - 20M,12,189713460
180204,2021-03,2021,3,CellphoneS,Miền Trung,Binh Dinh,Laptop,Acer,Acer,20M - 25M,7,121832455
180205,2021-03,2021,3,CellphoneS,Miền Trung,Binh Dinh,Laptop,Acer,Acer,<8M,2,12725454
180206,2021-03,2021,3,CellphoneS,Miền Trung,Da Nang,Laptop,Acer,Acer,10M - 12M,8,68213332
180207,2021-03,2021,3,CellphoneS,Miền Trung,Da Nang,Laptop,Acer,Acer,12M - 14M,8,83624244
180208,2021-03,2021,3,CellphoneS,Miền Trung,Da Nang,Laptop,Acer,Acer,14M - 16M,27,364404042
180209,2021-03,2021,3,CellphoneS,Miền Trung,Da Nang,Laptop,Acer,Acer,8M - 10M,12,102983640
180210,2021-03,2021,3,CellphoneS,Miền Trung,Da Nang,Laptop,Acer,Acer,>25M,10,215183334
180211,2021-03,2021,3,CellphoneS,Miền Trung,Da Nang,Laptop,Acer,Acer,16M - 20M,51,807810327
180212,2021-03,2021,3,CellphoneS,Miền Trung,Da Nang,Laptop,Acer,Acer,20M - 25M,10,175341193
180213,2021-03,2021,3,CellphoneS,Miền Trung,Da Nang,Laptop,Acer,Acer,<8M,2,12725454
180214,2021-03,2021,3,CellphoneS,Miền Trung,Dak Nong,Laptop,Acer,Acer,14M - 16M,4,56327272
180215,2021-03,2021,3,CellphoneS,Miền Trung,Dak Nong,Laptop,Acer,Acer,8M - 10M,6,47675454
180216,2021-03,2021,3,CellphoneS,Miền Trung,Dak Nong,Laptop,Acer,Acer,20M - 25M,2,36890909
180217,2021-03,2021,3,CellphoneS,Miền Trung,Dak Lak,Laptop,Acer,Acer,10M - 12M,6,57875454
180218,2021-03,2021,3,CellphoneS,Miền Trung,Dak Lak,Laptop,Acer,Acer,12M - 14M,6,53945454
180219,2021-03,2021,3,CellphoneS,Miền Trung,Dak Lak,Laptop,Acer,Acer,8M - 10M,6,48218187
180220,2021-03,2021,3,CellphoneS,Miền Trung,Dak Lak,Laptop,Acer,Acer,>25M,3,66248181
